Acteur,averageRating
Yvette Mimieux,7.6
Ni Ni,7.6
George Peppard,7.6
TarÃ´ Yamamoto,7.6
Shaun Evans,7.6
JÃ¼rgen Vogel,7.6
George Harrison,7.6
Paul McGann,7.6
Elena Lyadova,7.6
Yoshimi Kondou,7.6
Jodi Benson,7.6
Brad Davis,7.6
Jan Cornet,7.6
Zero Mostel,7.6
John Getz,7.6
Borys Szyc,7.6
Richard Griffiths,7.6
Richard Bohringer,7.6
Quinton Aaron,7.6
Joseph Lee,7.6
Rachel House,7.6
Elizabeth Hartman,7.6
Bo Hopkins,7.6
Ray Sahetapy,7.6
Thomas Kretschmann,7.6
Rene Auberjonois,7.6
Arno Frisch,7.6
John Lennon,7.6
Brady Corbet,7.6
Brandon Lee,7.6
Franz Rogowski,7.6
Joan Chen,7.6
David Alan Basche,7.6
Daniel Kaluuya,7.6
Frederick Lau,7.6
Brian Bedford,7.6
Bria Vinaite,7.6
Joanna Kulig,7.6
James Mason,7.6
FranÃ§ois Truffaut,7.6
Richard Harris,7.6
Peter Mullan,7.6
Zack Gottsagen,7.6
John Savage,7.6
John Roselius,7.6
Thibault Verhaeghe,7.6
Mirai Shida,7.6
Bae Doona,7.6
Gong Yoo,7.6
Jean-Marc Barr,7.6
Susanne Lothar,7.6
Laila Robins,7.6
Ma Dong-seok,7.6
Laia Costa,7.6
Lady Gaga,7.6
KÃ´ji Yakusho,7.6
Madhuri Dixit,7.6
Dick Shawn,7.6
Markus Rygaard,7.6
Irene Miracle,7.6
Atossa Leoni,7.6
Maribel VerdÃº,7.6
Sylvie Testud,7.6
Marie-Laure Dougnac,7.6
Sarah Vowell,7.6
Carmen Maura,7.6
Lung Ti,7.6
Louis Prima,7.6
Verna Bloom,7.6
Jason Mitchell,7.6
Sue Lyon,7.6
Doga Zeynep Doguslu,7.6
Annie Corley,7.6
Ho-Sung Pak,7.6
X Mayo,7.6
Hugo Silva,7.6
Li Sun,7.6
Hye-Sook Go,7.6
Alberto Ammann,7.6
Lindsay Duncan,7.6
Xinyi Zhang,7.6
Ananda George,7.6
Sarah Miles,7.6
Vicellous Shannon,7.6
Liza ColÃ³n-Zayas,7.6
Dorsey Wright,7.6
Jason London,7.6
Alan Young,7.6
Khalid Abdalla,7.6
Takayuki Yamada,7.6
Kenji Mizuhashi,7.6
Yong Dong,7.6
Guillaume Canet,7.6
Melora Walters,7.6
Michael Beck,7.6
Rochelle Davis,7.6
Aishwarya Rai Bachchan,7.6
Michael Preston,7.6
August Diehl,7.6
Shuzhen Zhao,7.6
Auli'i Cravalho,7.6
Devid Striesow,7.6
Treat Williams,7.6
Mikael Persbrandt,7.6
Jeong-nam Choi,7.6
Max Riemelt,7.6
Haaz Sleiman,7.6
Mary Ure,7.6
Ahmad Khan Mahmoodzada,7.6
Roman Madyanov,7.6
Janusz Gajos,7.6
Sophie Kennedy Clark,7.6
Charlie Cox,7.6
GÃ¼nes Sensoy,7.6
Roger Miller,7.6
Martine McCutcheon,7.6
Eric Idle,7.599999999999999
Rupert Grint,7.588888888888889
Leonardo DiCaprio,7.586363636363637
Faye Dunaway,7.583333333333333
Mathieu Amalric,7.566666666666666
Ewen Bremner,7.566666666666666
Patrick McGoohan,7.566666666666666
Robin Wright,7.566666666666666
Julie Christie,7.56
Lin-Manuel Miranda,7.550000000000001
Laurence Olivier,7.550000000000001
Kim Greist,7.550000000000001
Thomasin McKenzie,7.550000000000001
Jerry Lewis,7.55
River Phoenix,7.55
Hugh Bonneville,7.55
Peter Coyote,7.55
Charlton Heston,7.55
Julie Kavner,7.55
Joe Pesci,7.539999999999999
Martin Landau,7.533333333333334
Choi Min-sik,7.533333333333334
Rod Taylor,7.533333333333334
Ziyi Zhang,7.525
F. Murray Abraham,7.5200000000000005
Alan Rickman,7.5200000000000005
Hanaa Bouchaib,7.5
Adam Bryant,7.5
Diane Cilento,7.5
Ethel Merman,7.5
Valeriia Karaman,7.5
Vicky Haughton,7.5
Erica Carlson,7.5
Haley Ramm,7.5
Emory Cohen,7.5
Armand Verdure,7.5
Annie Girardot,7.5
Harvey Stephens,7.5
GÃ©za RÃ¶hrig,7.5
Iben Hjejle,7.5
Henry Goodman,7.5
Henry Silva,7.5
Henry Thomas,7.5
Annie Rose Buckley,7.5
Harry Connick Jr.,7.5
Jang-Lee Hwang,7.5
Diana PeÃ±alver,7.5
Jacqueline Poelvoorde-Pappaert,7.5
Elizabeth PeÃ±a,7.5
Elizabeth Moody,7.5
