primaryTitle,startYear,genre1,genre2,genre3,averageRating,numVotes,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,War,Western
The Mothman Prophecies,2002,Drama,Horror,Mystery,6.4,78777.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The Mountain Between Us,2017,Action,Adventure,Drama,6.4,72123.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Mountain II,2016,Action,Drama,War,8.7,107010.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The Mule,2018,Crime,Drama,Thriller,7.0,127807.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Mummy,1999,Action,Adventure,Fantasy,7.0,409950.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Mummy,2017,Action,Adventure,Fantasy,5.4,180427.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Mummy Returns,2001,Action,Adventure,Fantasy,6.4,312647.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Mummy: Tomb of the Dragon Emperor,2008,Action,Fantasy,Horror,5.2,156191.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Muppet Christmas Carol,1992,Comedy,Drama,Family,7.7,52292.0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Muppets,2011,Adventure,Comedy,Family,7.1,90298.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Naked Gun 2½: The Smell of Fear,1991,Comedy,Crime,,6.9,109905.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Naked Gun: From the Files of Police Squad!,1988,Comedy,Crime,,7.6,161477.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Name of the Rose,1986,Crime,Drama,Mystery,7.7,105672.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The Nanny Diaries,2007,Comedy,Drama,Romance,6.2,58129.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Natural,1984,Drama,Sport,,7.5,47042.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Negotiator,1998,Action,Crime,Drama,7.3,136630.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Neon Demon,2016,Horror,Thriller,,6.2,90346.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
The Net,1995,Action,Crime,Drama,6.0,64158.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The NeverEnding Story,1984,Adventure,Drama,Family,7.4,137972.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The NeverEnding Story II: The Next Chapter,1990,Adventure,Drama,Family,5.2,25527.0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The New Guy,2002,Comedy,,,5.9,34778.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The New Mutants,2020,Action,Horror,Mystery,5.3,68455.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The New World,2005,Biography,Drama,History,6.7,85000.0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
The Next Karate Kid,1994,Action,Drama,Family,4.5,28868.0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Next Three Days,2010,Action,Crime,Drama,7.3,192606.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Nice Guys,2016,Action,Comedy,Crime,7.4,302993.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Night Before,2015,Comedy,Fantasy,,6.4,69451.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Nightingale,2018,Adventure,Drama,Thriller,7.3,26020.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Nightmare Before Christmas,1993,Animation,Family,Fantasy,8.0,317433.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
The Nines,2007,Drama,Fantasy,Mystery,6.3,33514.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
The Ninth Gate,1999,Mystery,Thriller,,6.7,174951.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
The Notebook,2004,Drama,Romance,,7.8,544237.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The November Man,2014,Action,Thriller,,6.3,66333.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Number 23,2007,Crime,Mystery,Thriller,6.4,198165.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
The Nun,2018,Horror,Mystery,Thriller,5.3,131695.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
The Nut Job,2014,Adventure,Animation,Comedy,5.7,27753.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Nutcracker and the Four Realms,2018,Adventure,Family,Fantasy,5.6,31338.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
